NAME,PassPCT,PassYPA,PassCOMPLETIONS,PassINT,RushYPC,RushCAR,PassATT,PassTD,PassYDS,RushTD,RushYDS,Year,School,Class,1stVotes,2ndVotes,3rdVotes,TotalVotes,win_percent,TotalPointShare,1stVoteShare,ClassNum,SchoolNum
Sam Bradford,0.679,9.8,328,8,1.1,42,483,50,4720,5,47,2008,Oklahoma,SO,300,315,196,1726,0.857142857,0.322918616,0.332594235,2,1
Colt McCoy,0.767,8.9,332,8,4.1,136,433,34,3859,11,561,2008,Texas,JR,266,288,230,1604,0.923076923,0.300093545,0.294900222,0,5
Tim Tebow,0.644,9.2,192,4,3.8,176,298,30,2746,12,673,2008,Florida,JR,309,207,234,1575,0.928571429,0.294667914,0.342572062,0,11
Graham Harrell,0.706,8.2,442,9,-0.4,41,626,45,5111,6,-15,2008,Texas Tech,SR,13,44,86,213,0.846153846,0.039850327,0.014412417,1,16
Pat White,0.657,6.7,180,7,5.1,191,274,21,1842,8,974,2008,West Virginia,SR,3,1,8,19,0.692307692,0.003554724,0.003325942,1,14
Nate Davis,0.643,9,258,8,4.7,66,401,26,3591,5,312,2008,Ball State,JR,0,1,8,10,0.857142857,0.001870907,0,0,17
Colt McCoy,0.706,7.5,332,12,2.7,129,470,27,3521,3,348,2009,Texas,SR,203,188,160,1145,0.928571429,0.214660667,0.226057906,1,5
Tim Tebow,0.678,9.2,213,5,4.2,217,314,21,2895,14,910,2009,Florida,SR,43,70,121,390,0.928571429,0.073115861,0.047884187,1,11
Kellen Moore,0.643,8.2,277,3,-0.2,24,431,39,3536,1,-5,2009,Boise State,SO,10,20,30,100,1,0.018747657,0.011135857,2,18
Case Keenum,0.703,8.1,492,15,2.6,60,700,44,5671,4,158,2009,Houston,JR,2,9,13,37,0.714285714,0.006936633,0.002227171,0,19
Cam Newton,0.661,10.2,185,7,5.6,264,280,30,2854,20,1473,2010,Auburn,JR,729,24,28,2263,1,0.435192308,0.825594564,0,3
Andrew Luck,0.707,9,263,8,8.2,55,372,32,3338,3,453,2010,Stanford,SO,78,309,227,1079,0.923076923,0.2075,0.088335221,2,20
Kellen Moore,0.713,10,273,6,-1.7,19,383,35,3845,1,-32,2010,Boise State,JR,40,165,185,635,0.923076923,0.122115385,0.045300113,0,18
Denard Robinson,0.625,8.8,182,11,6.6,256,291,18,2570,14,1702,2010,Michigan,SO,6,16,34,84,0.538461538,0.016153846,0.006795017,2,21
Ryan Mallett,0.647,9.4,266,12,-1.7,44,411,32,3869,4,-74,2010,Arkansas,JR,0,11,19,41,0.769230769,0.007884615,0,0,22
Colin Kaepernick,0.649,8.4,233,8,7,173,359,21,3022,20,1206,2010,Nevada,SR,0,7,17,31,0.928571429,0.005961538,0,1,23
Andy Dalton,0.661,9,209,6,5.1,86,316,27,2857,6,435,2010,TCU,SR,4,3,12,30,1,0.005769231,0.004530011,1,24
Robert Griffin III,0.724,10.7,291,6,3.9,179,402,37,4293,10,699,2011,Baylor,JR,405,168,136,1687,0.769230769,0.323614042,0.459183673,0,25
Andrew Luck,0.713,8.7,288,10,3.2,47,404,37,3517,2,150,2011,Stanford,JR,247,250,166,1407,0.846153846,0.269902168,0.280045351,0,20
Matt Barkley,0.691,7.9,308,7,0.5,28,446,39,3528,2,14,2011,USC,JR,11,33,54,153,0.833333333,0.029349703,0.012471655,0,0
Case Keenum,0.71,9.3,428,5,0.6,57,603,48,5631,3,35,2011,Houston,SR,10,20,53,123,0.928571429,0.023594859,0.011337868,1,19
Kellen Moore,0.743,8.7,326,9,-3.3,20,439,43,3800,0,-66,2011,Boise State,SR,6,21,30,90,0.923076923,0.017264531,0.006802721,1,18
Russell Wilson,0.728,10.3,225,4,4.3,79,309,33,3175,6,338,2011,Wisconsin,SR,4,12,15,52,0.785714286,0.009975062,0.004535147,1,26
Johnny Manziel,0.68,8.5,295,9,7,201,434,26,3706,21,1410,2012,Texas A&M,FR,474,252,103,2029,0.846153846,0.388474057,0.531390135,3,27
Collin Klein,0.648,8.7,197,9,4.4,207,304,16,2641,23,920,2012,Kansas State,SR,60,197,320,894,0.846153846,0.171165997,0.067264574,1,28
Braxton Miller,0.583,8,148,6,5.6,227,254,15,2039,13,1271,2012,Ohio State,SO,3,29,77,144,1,0.027570362,0.003363229,2,9
Jordan Lynch,0.602,8,237,6,6.2,294,394,25,3138,19,1815,2012,Northern Illinois,JR,3,8,27,52,0.857142857,0.009955964,0.003363229,0,29
Jameis Winston,0.669,10.6,257,10,2.5,88,384,40,4057,4,219,2013,Florida State,FR,668,84,33,2205,1,0.427574171,0.748040314,3,30
A.J. McCarron,0.673,9.1,226,7,-0.6,34,336,28,3063,0,-22,2013,Alabama,SR,79,162,143,704,0.846153846,0.136513477,0.088465845,1,31
Jordan Lynch,0.626,7.2,253,8,6.6,292,404,24,2892,23,1920,2013,Northern Illinois,SR,40,149,140,558,0.857142857,0.108202443,0.044792833,1,29
Johnny Manziel,0.699,9.6,300,13,5.3,144,429,37,4114,9,759,2013,Texas A&M,SO,30,103,125,421,0.692307692,0.08163661,0.033594625,2,27
Bryce Petty,0.62,10.4,250,3,2.2,94,403,32,4200,14,209,2013,Baylor,JR,4,40,35,127,0.846153846,0.024626721,0.004479283,0,25
Derek Carr,0.687,7.7,453,8,2.9,40,659,50,5082,2,117,2013,Fresno State,SR,6,23,43,107,0.846153846,0.020748497,0.006718925,1,32
Braxton Miller,0.635,8.2,162,7,6.2,171,255,24,2094,12,1068,2013,Ohio State,JR,4,21,37,91,0.857142857,0.017645918,0.004479283,0,9
Marcus Mariota,0.683,10,304,4,5.7,135,445,42,4454,15,770,2014,Oregon,JR,788,74,22,2534,0.866666667,0.482391015,0.885393258,0,13
Trevone Boykin,0.612,7.9,301,10,4.7,152,492,33,3901,8,707,2014,TCU,JR,7,45,104,218,0.923076923,0.041500095,0.007865169,0,24
J.T. Barrett,0.646,9,203,10,5.5,171,314,34,2834,11,938,2014,Ohio State,FR,0,19,40,78,0.933333333,0.014848658,0,3,9
Jameis Winston,0.653,8.4,305,18,1.1,57,467,25,3907,3,65,2014,Florida State,SO,4,10,19,51,0.928571429,0.009708738,0.004494382,2,30
Dak Prescott,0.616,8.7,244,11,4.7,210,396,27,3449,14,986,2014,Mississippi State,JR,2,4,13,21,0.769230769,0.003997716,0.002247191,0,33
Bryce Petty,0.631,9,270,7,1.2,84,428,29,3855,6,101,2014,Baylor,SR,1,3,4,13,0.846153846,0.002474776,0.001123596,1,25
Deshaun Watson,0.678,8.4,333,13,5.3,207,491,35,4104,12,1105,2015,Clemson,SO,148,240,241,1165,0.933333333,0.218902668,0.165363128,2,34
Baker Mayfield,0.681,9.4,269,7,2.9,141,395,36,3700,7,405,2015,Oklahoma,JR,34,55,122,334,0.846153846,0.062758362,0.037988827,0,1
Keenan Reynolds,0.53,10.5,61,1,5.2,265,115,8,1203,24,1373,2015,Navy,SR,20,17,86,180,0.846153846,0.033821871,0.022346369,1,35
Connor Cook,0.561,7.7,229,7,1.1,52,408,24,3131,0,56,2015,Michigan State,SR,2,3,1,13,0.857142857,0.002442691,0.002234637,1,36
Trevone Boykin,0.649,9,257,10,5,123,396,31,3575,9,612,2015,TCU,SR,1,3,4,13,0.846153846,0.002442691,0.001117318,1,24
Lamar Jackson,0.562,8.7,230,9,6,260,409,30,3543,21,1571,2016,Louisville,SO,526,251,64,2144,0.692307692,0.418096724,0.596371882,2,37
Deshaun Watson,0.67,7.9,387,17,3.8,165,578,41,4593,9,629,2016,Clemson,JR,269,302,113,1524,0.933333333,0.297191888,0.304988662,0,34
Baker Mayfield,0.709,11.1,254,8,2.3,78,358,40,3965,6,177,2016,Oklahoma,JR,26,72,139,361,0.846153846,0.070397816,0.029478458,0,1
Jake Browning,0.621,8.8,243,9,0.7,65,391,43,3430,4,45,2016,Washington,SO,3,41,91,182,0.857142857,0.03549142,0.003401361,2,38
Baker Mayfield,0.705,11.5,285,6,3.2,97,404,43,4627,5,311,2017,Oklahoma,SR,732,87,28,2398,0.857142857,0.459298985,0.825253664,1,1
Lamar Jackson,0.591,8.5,254,10,6.9,232,430,27,3660,18,1601,2017,Louisville,JR,47,197,258,793,0.615384615,0.151886612,0.052987599,0,37
Mason Rudolph,0.65,10,318,9,0.6,61,489,37,4904,10,35,2017,Oklahoma State,SR,2,14,22,56,0.769230769,0.010725915,0.002254791,1,39
McKenzie Milton,0.671,10.2,265,9,5.8,106,395,37,4037,8,613,2017,UCF,SO,4,11,20,54,1,0.010342846,0.004509583,2,40
Kyler Murray,0.689,11.6,259,7,7.2,140,376,42,4364,12,1001,2018,Oklahoma,JR,517,278,60,2167,0.857142857,0.415851084,0.588838269,0,1
Tua Tagovailoa,0.682,10.8,214,6,2.7,49,314,36,3398,4,133,2018,Alabama,SO,299,431,112,1871,0.933333333,0.359048167,0.340546697,2,31
Dwayne Haskins,0.699,8.9,371,8,1.4,79,531,49,4751,4,108,2018,Ohio State,SO,46,111,423,783,0.928571429,0.150259067,0.0523918,2,9
Will Grier,0.67,9.7,266,8,-1.9,49,397,37,3864,3,-95,2018,West Virginia,SR,4,17,80,126,0.666666667,0.02417962,0.004555809,1,14
Gardner Minshew,0.707,7.2,468,9,2.1,58,662,38,4776,4,119,2018,Washington State,SR,6,15,74,122,0.846153846,0.023412013,0.006833713,1,41
McKenzie Milton,0.592,9.2,171,6,3.9,79,289,25,2663,9,307,2018,UCF,SO,4,4,19,39,0.923076923,0.007484168,0.004555809,2,40
Joe Burrow,0.763,10.8,402,6,3.2,115,527,60,5671,5,369,2019,LSU,SR,841,41,3,2608,1,0.495064541,0.943883277,1,42
Jalen Hurts,0.695,11.3,237,8,5.6,233,341,32,3851,20,1298,2019,Oklahoma,SR,12,231,264,762,0.857142857,0.144646925,0.013468013,1,1
Justin Fields,0.672,9.2,238,3,3.5,137,354,41,3273,10,484,2019,Ohio State,SO,6,271,187,747,0.928571429,0.141799544,0.006734007,2,9
Trevor Lawrence,0.658,9,268,8,5.5,103,407,36,3665,9,563,2019,Clemson,SO,3,25,29,88,0.933333333,0.016704632,0.003367003,2,34
Tua Tagovailoa,0.714,11.3,180,3,0.7,23,252,33,2840,2,17,2019,Alabama,JR,1,4,13,24,0.846153846,0.004555809,0.001122334,0,31
Trevor Lawrence,0.692,9.4,231,5,3,68,334,24,3153,8,203,2020,Clemson,JR,222,176,169,1187,0.833333333,0.222201423,0.245847176,0,34
Mac Jones,0.774,11.2,311,4,0.5,35,402,41,4500,1,16,2020,Alabama,JR,138,248,220,1130,1,0.211531262,0.15282392,0,31
Kyle Trask,0.689,9.8,301,8,0.8,64,437,43,4283,3,50,2020,Florida,SR,61,164,226,737,0.666666667,0.13796331,0.067552602,1,11
Justin Fields,0.702,9.3,158,6,4.7,81,225,22,2100,5,383,2020,Ohio State,JR,5,6,21,48,0.875,0.008985399,0.005537099,0,9
Zach Wilson,0.733,11,244,3,3.8,69,333,32,3651,10,265,2020,BYU,JR,3,6,21,42,0.916666667,0.007862224,0.003322259,0,43
Ian Book,0.646,8,228,3,4.2,117,353,15,2830,9,486,2020,Notre Dame,SR,5,5,13,38,0.833333333,0.007113441,0.005537099,1,6
